id;salution;name;firstname;deliveryadresse;billingadresse;mail;fon
0;Mr;Frosch;Kermit;Langustenweg 1,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
1;Mr;Frosch;Kermit;Langustenweg 2,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
2;Mr;Frosch;Kermit;Langustenweg 3,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
3;Mr;Frosch;Kermit;Langustenweg 4,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
4;Mr;Frosch;Kermit;Langustenweg 5,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
5;Mr;Frosch;Kermit;Langustenweg 6,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
6;Mr;Frosch;Kermit;Langustenweg 7,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
7;Mr;Frosch;Kermit;Langustenweg 8,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
8;Mr;Frosch;Kermit;Langustenweg 9,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
9;Mr;Frosch;Kermit;Langustenweg 10,012345 Berlin;Langustenweg 3,012345 Berlin
10;Mr;Frosch;Kermit;Langustenweg 11,012345 Berlin;Langustenweg 3,012345 Berlin
11;Mr;Frosch;Kermit;Langustenweg 12,012345 Berlin;Langustenweg 3,012345 Berlin
12;Mr;Frosch;Kermit;Langustenweg 13,012345 Berlin;Langustenweg 3,012345 Berlin
13;Mr;Frosch;Kermit;Langustenweg 3,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
14;Mr;Frosch;Kermit;Langustenweg 3,012345 Berlin;Langustenweg 3,012345 Berlin;k.the.f@frogland.org;+491513213233
